Y,s1,t1,t2,t3
5.517811937802342,2.853546278489214,1.547795709450123,1.547795709450123,1.5470707584524468
5.521497593238896,2.8542224376123086,1.5481310268160398,1.5481310268160398,1.547426731796014
5.525211703146596,2.854899191972851,1.548467090938706,1.548467090938706,1.5477832440905472
5.528954147353652,2.855576548315765,1.5488039086140644,1.5488039086140644,1.54814029703497
5.5327247920671825,2.8562545133466934,1.549141486595657,1.549141486595657,1.5484978923104604
5.536523489897547,2.8569330937298285,1.5494798315912566,1.5494798315912566,1.5488560315797166
5.540350079886807,2.8576122960828,1.5498189502594957,1.5498189502594957,1.5492147164862344
5.544204387550009,2.858292126974144,1.5501588492065244,1.5501588492065244,1.549573948653594
5.548086224923417,2.858972592920198,1.5504995349826738,1.5504995349826738,1.5499337296847433
5.5519953906187185,2.8596537003810685,1.5508410140791464,1.5508410140791464,1.5502940611612803
5.555931669890737,2.860335455758016,1.5511832929247296,1.5511832929247296,1.5506549446427653
5.559894834706327,2.861017865389235,1.5515263778825181,1.5515263778825181,1.5510163816660147
5.563884643830048,2.8617009355477365,1.5518702752466789,1.5518702752466789,1.551378373744395
5.56790084290871,2.862384672437308,1.5522149912392325,1.5522149912392325,1.5517409223671565
5.5719431645707,2.863069082189486,1.5525605320068632,1.5525605320068632,1.5521040289987418
5.5760113285308215,2.8637541708604006,1.5529069036177672,1.5529069036177672,1.5524676950781229
5.580105041702786,2.8644399444277995,1.5532541120585233,1.5532541120585233,1.5528319220181208
5.584223998318736,2.8651264087873636,1.553602163231007,1.553602163231007,1.5531967112047647
5.58836788006103,2.8658135697503644,1.553951062949334,1.553951062949334,1.5535620639966288
5.592536356193298,2.8665014330401855,1.5543008169368502,1.5543008169368502,1.5539279817242024
5.596729083708562,2.867190004289329,1.5546514308231447,1.5546514308231447,1.5542944656892512
5.600945707477095,2.8678792890365727,1.55500291014113,1.55500291014113,1.554661517164203
5.605185860406332,2.8685692927240436,1.5553552603241396,1.5553552603241396,1.5550291373915301
5.609449163605075,2.8692600206940986,1.5557084867030901,1.5557084867030901,1.555397327583146
5.6137352265571145,2.8699514781868203,1.5560625945036761,1.5560625945036761,1.5557660889198133
